source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
CBS,2021-01-07 08:20:41.125491,FLA,D,Aaron Ekblad,3.55,24.19,4.57,2.4,118.15,,,,,,,
CBS,2021-01-07 08:20:41.125491,ARI,D,Oliver Ekman-Larsson,7.49,17.97,-3.44,3.34,105.49,,,,,,,
CBS,2021-01-07 08:20:41.125491,BUF,D,Rasmus Ristolainen,4.34,19.53,0.83,4.06,91.8,,,,,,,
CBS,2021-01-07 08:20:41.125491,CHI,D,Duncan Keith,2.49,22.29,-3.93,9.0,86.96,,,,,,,
CBS,2021-01-07 08:20:41.125491,ARI,D,Jakob Chychrun,10.31,11.1,-1.08,3.84,117.87,,,,,,,
CBS,2021-01-07 08:20:41.125491,TOR,D,Jake Muzzin,6.28,17.09,5.26,0.0,109.67,,,,,,,
CBS,2021-01-07 08:20:41.125491,PHI,D,Shayne Gostisbehere,6.75,11.92,9.98,3.85,100.42,,,,,,,
CBS,2021-01-07 08:20:41.125491,BOS,D,Charlie McAvoy,4.38,21.13,-0.55,0.67,100.49,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYR,D,Jacob Trouba,5.83,16.41,0.23,3.48,131.46,,,,,,,
CBS,2021-01-07 08:20:41.125491,STL,D,Colton Parayko,10.13,14.78,-1.6,2.27,161.16,,,,,,,
CBS,2021-01-07 08:20:41.125491,NJ,D,P.K. Subban,6.48,9.88,5.9,3.01,117.98,,,,,,,
CBS,2021-01-07 08:20:41.125491,CAR,D,Jaccob Slavin,5.3,22.04,1.45,1.29,124.77,,,,,,,
CBS,2021-01-07 08:20:41.125491,MIN,D,Jonas Brodin,1.58,21.49,10.25,0.88,88.7,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,D,Bowen Byram,4.74,14.63,10.22,2.88,76.01,,,,,,,
CBS,2021-01-07 08:20:41.125491,FLA,D,MacKenzie Weegar,7.81,12.59,4.57,0.0,92.78,,,,,,,
CBS,2021-01-07 08:20:41.125491,ANA,D,Hampus Lindholm,1.06,21.39,-1.89,6.05,104.33,,,,,,,
CBS,2021-01-07 08:20:41.125491,WPG,D,Josh Morrissey,3.94,19.22,-3.6,5.07,93.52,,,,,,,
CBS,2021-01-07 08:20:41.125491,NSH,D,Mark Borowiecki,7.37,10.55,3.71,0.0,65.92,,,,,,,
CBS,2021-01-07 08:20:41.125491,MIN,D,Dakota Mermis,5.4,16.78,3.73,1.25,80.54,,,,,,,
CBS,2021-01-07 08:20:41.125491,CGY,D,Rasmus Andersson,6.27,13.36,1.72,1.66,95.12,,,,,,,
CBS,2021-01-07 08:20:41.125491,MIN,D,Matt Dumba,4.74,14.58,2.0,3.52,143.87,,,,,,,
CBS,2021-01-07 08:20:41.125491,OTT,D,Mike Reilly,1.12,18.05,-0.78,6.81,98.27,,,,,,,
CBS,2021-01-07 08:20:41.125491,ARI,D,Alex Goligoski,2.85,20.04,-1.65,4.45,70.75,,,,,,,
CBS,2021-01-07 08:20:41.125491,TB,D,Andreas Borgman,4.45,13.71,7.32,2.69,70.41,,,,,,,
