team,age,name,line,ppu,position_yahoo,position,rollup,vorp,adp,pr_vorp,pr_adp,pr_arbitrage,round,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Fla,33.0,Sergei Bobrovsky,,,G,G,54.4,-15.1,117.0,26.5,24.0,-2.5,10.0,,,,,,,,33.845,0.905,1582.88,3.165
Phi,30.0,Ryan Ellis,1.0,1.0,D,D,29.5,-2.6,119.4,30.0,26.0,-4.0,10.0,11.755,39.03,7.865,164.425,56.5,134.2,1.7,,,,
Phi,24.0,Ivan Provorov,1.0,2.0,D,D,32.3,0.3,120.5,21.5,27.0,5.5,11.0,12.545,25.835,9.77,178.02,106.9,149.7,1.7,,,,
Ott,24.0,Thomas Chabot,1.0,1.0,D,D,32.7,0.6,120.7,19.0,28.0,9.0,11.0,9.68,42.48,11.74,196.27,95.5,111.3,1.1,,,,
TB,23.0,Mikhail Sergachev,3.0,2.0,D,D,28.4,-3.7,121.0,35.0,29.0,-6.0,11.0,8.705,31.38,9.655,153.605,114.2,111.7,1.5,,,,
Edm,29.0,Zach Hyman,1.0,1.0,"LW,RW",RW,29.3,-10.8,124.8,31.0,23.0,-8.0,11.0,28.93,26.135,5.405,189.575,104.0,38.7,4.2,,,,
Nsh,27.0,Filip Forsberg,1.0,1.0,LW,LW,35.7,-5.7,125.5,13.0,18.0,5.0,11.0,26.79,33.905,14.45,242.45,90.8,30.1,4.2,,,,
Min,31.0,Jared Spurgeon,1.0,1.0,D,D,29.3,-2.7,128.7,31.5,30.0,-1.5,11.0,13.23,28.325,12.495,137.275,75.8,134.6,1.6,,,,
SJ,27.0,Tomas Hertl,2.0,1.0,"C,LW",LW,33.6,-7.8,128.8,16.0,19.0,3.0,11.0,30.785,37.84,12.58,183.72,56.6,55.6,3.8,,,,
Cls,23.0,Patrik Laine,1.0,1.0,"LW,RW",RW,34.2,-5.9,129.5,14.5,24.0,9.5,11.0,29.44,26.98,15.79,215.965,80.3,39.7,3.8,,,,
Was,27.0,Tom Wilson,1.0,2.0,RW,RW,31.7,-8.4,129.7,23.0,25.0,2.0,11.0,22.78,27.85,6.68,153.43,206.8,49.2,3.2,,,,
Col,23.0,Samuel Girard,1.0,2.0,D,D,24.3,-7.8,129.8,46.0,31.0,-15.0,11.0,6.175,37.625,10.25,136.4,64.1,101.8,0.7,,,,
Col,27.0,Devon Toews,,,D,D,25.9,-6.2,130.2,41.0,32.0,-9.0,11.0,10.815,31.375,6.79,171.825,66.0,103.0,1.9,,,,
Phi,23.0,Carter Hart,,,G,G,51.8,-17.6,131.2,28.0,25.0,-3.0,11.0,,,,,,,,32.055,0.904,1684.88,3.175
